start|end|text
7.19|8.11|Where you were born?
8.57|21.06|Oh, I was born in a little town of Remsen, Iowa, about 20 miles out of Sioux City, Iowa, in what was known as the Corn Belt of Iowa.
21.08|21.48|In what year?
22.29|22.61|In 1902.
22.63|22.85|1902.
23.31|26.27|So in the Depression, you'd be how old?
26.75|27.17|19, 20?
27.23|32.4|Well, as far as the Depression, the roof sort of fell.
33.82|35.3|The roof fell in about...
36.21|40.28|In 1929, I was 27 years old at that time.
40.3|41.78|And where were you then?
41.8|43.66|I was at Halbrite.
43.68|44.56|Saskatchewan.
44.68|48.23|In the, you can say, Weyburn-Estevan area.
49.05|49.99|And we had a farm.
50.35|52.07|I was brought up on a farm at Halbrite.
52.53|54.22|Your whole family was there then?
54.24|54.42|Oh, yeah.
54.44|56.48|We were a big family when we came up from Iowa.
56.76|64.03|We were, what, father and mother and 12 children, and one was born after we came.
64.61|65.81|Why did they move from Iowa?
66.22|67.78|Why did they move up?
68.5|70.04|That's a good question.
71.24|78.33|I've asked that many times during the dry years when the country blew out and everything was against you.
78.35|80.23|Why did Dad ever leave Iowa?
80.25|81.8|But he homesteaded, didn't he?
81.82|82.44|No, he didn't.
82.64|85.74|We bought land and he paid a big price for it.
86.64|90.25|Prairie, you might say, and broke it up with horses.
91.27|93.34|and did everything the hard way.
93.36|96.24|But he had a lot of manpower, this growing family.
96.5|102.18|The oldest one was 20 years old when we moved up here.
103.28|104.02|You were in the middle.
104.04|105.14|We were nine boys.
105.4|108.15|No, I was the seventh son.
108.17|111.06|And then there were girls after you.
111.49|114.07|Three girls before me and one right after me.
114.88|116.34|So you were near the end, then.
116.46|117.84|So we were a big family.
117.86|120.56|So a lot of those boys stayed on the farm?
120.58|121.0|Oh, yes.
121.06|127.39|In those days, you stayed home and worked for your keep until you were 21 years old.
127.67|128.83|And then you flew the coop.
128.85|130.0|Not like they do nowadays.
130.01|131.96|They want to go at 16 or 17.
132.88|136.68|We stayed home and you worked without wages until you were 21 years old.
