start|end|text
6.45|10.61|I go right back, and it starts in where I taped ...
25.24|28.24|I'll roll this back now and see what's happening.
31.51|37.57|Yes, it was erasing and taping over, so I'll just keep on talking now
37.57|48.57|and go back and start relating the story from where I was born at Remsen, Iowa, October the 7th, 1902.
48.57|55.36|My folks were living on the farm, as far as I know.
55.36|57.36|They were farming at that time.
57.36|67.36|My dad had been a drayman and a policeman in a town of 1,200 with 11 barrooms in it.
67.36|69.36|Those were the hectic days,
69.36|72.36|the pioneer days for western Iowa.
72.36|74.36|However, he farmed for some years.
74.36|81.36|He had three or four teenage boys at that time, so he thought it best to get out on the farm.
81.36|85.36|And for some reason or other, some land agent got a hold of him
85.36|91.36|and suggested that with a gang of boys like he had, he should be up in Canada
91.36|96.36|where land was cheap and a lot of room for expansion.
96.36|99.36|At that particular time, land in Iowa was selling,
99.36|107.36|well, roughly $80 an acre, where you could buy it up in Canada from $20 to $25 an acre.
107.36|109.36|But it was still the raw prairie.
109.36|114.36|It had to be broke up and put into cultivation before you could get anything off it.
114.36|123.36|And I guess they did a good job selling because dad had a lot of courage to move up in that godforsaken country
123.36|128.36|when he was in a good corn growing,
128.36|132.36|well-established community down there.
132.36|142.36|Well, we went up to Canada and they had about three boxcars of, I guess, mostly animals and some machinery.
142.36|145.36|They didn't have much machinery that you could use up in Canada.
145.36|152.36|But along with what they took along, they had a boxcar load of it.
152.36|156.36|And the rest was packed up in the passenger train and headed out.
156.36|163.36|I don't know the history of whether we—I'm sure we didn't have sleepers.
163.36|168.36|And we would have had to stop possibly overnight in Minneapolis when we got there.
168.36|170.36|I don't remember any of that.
170.36|174.36|I do faintly remember some of the train ride.
174.36|179.36|And there were—the two boys went with the boxcars of animals.
179.36|185.36|And they tell of all the fun they had riding in those side door pullmans,
185.36|188.36|if they call them, along with the animals,
188.36|194.36|all the way up from Remsen, Iowa, up to Sioux Falls, Sioux City,
194.36|199.36|and then up what they call the Sioux Line, up to Halbrite.
199.36|204.36|And landed there on the 17th of March,
204.36|209.36|after a winter of the greatest snowfall the prairie had ever seen.
209.36|214.36|There was an estimated 36 inches of snow in Malapa that winter.
214.36|217.36|However, we landed at Halbrite.
217.36|221.36|And now this is where my memory starts to get in gear.
221.36|223.36|We stayed in the hotel.
223.36|228.36|And I have a faint recollection of us being in this hotel.
228.36|231.36|This is Mother and all the children.
231.36|237.36|And then the boys and Dad arrived up there.
237.36|239.36|Well, I guess Dad was on the train with us.
239.36|243.36|And the boys came up with the livestock, and they had to unload.
243.36|246.36|And take it out to the farm.
246.36|248.36|Now, when they got out there, everything was under snow.
248.36|253.36|They tell that they had to dig into a snowbank to find the barn, a stable.
253.36|258.36|And I'd like to see, you know they - just what went on.
258.36|262.36|These guys coming from Iowa were, if they had six inches of snow there,
262.36|263.36|it was a big snowfall.
263.36|268.36|And here they come out with three foot of snow on the level.
268.36|272.36|We landed in a farm.
272.36|275.36|Six miles north of Halbrite.
275.36|281.6|As I remember it, the house stood there for years and years after.
281.6|287.91|It was a two-bedroom house with a dining room, kitchen combined.
287.91|291.91|Or a dining room, living room combined, and quite a large kitchen.
291.91|299.91|And that house stood there for 20, 30 years after we lived in it for the first summer.
299.91|303.91|And I don't have any recollection of the sleeping arrangements,
303.91|305.91|where we all slept or anything.
305.91|310.29|But there were 12 of us.
310.29|313.29|But the youngest one wasn't born yet.
313.29|318.29|But there were 12 of us and mother and dad lived in that house.
318.29|323.29|And I can't figure out, we must have had solid mattresses on the floors
323.29|328.91|in order to find a place to sleep.
328.91|333.91|But first I remember the snow was all gone when I remembered that.
333.91|337.91|I can remember the ride out there with all the deep snow.
337.91|338.91|All you could see was snow.
338.91|341.91|As far as the eye could see, everything was white.
341.91|348.76|And then everything blanks out to me.
348.76|355.76|The next thing I can remember is that I would have been four and a half years old at that time.
355.76|363.76|And Liona was just past three, about 14 months younger than I was.
363.76|369.76|And the two of us walked across the mile where they were building the house on our regular farm
369.76|370.76|where we were going to live.
371.76|376.76|And I can remember just a faint recollection.
376.76|378.76|I guess we sneaked away without authority or anything.
378.76|381.76|We followed the trail, just a trail over there.
381.76|383.76|We followed the trail over there.
383.76|386.76|And the people in the house, they gave us cookies.
386.76|395.76|And I remember prunes. And Liona ate so many prunes that she had that nickname for years after Prunes Achen.
395.76|403.35|And then I have no recollection of us moving into that new house.
403.35|405.35|And that's funny.
405.35|411.35|And I don't remember, we moved over there that fall before winter set in.
411.35|412.35|That house was finished.
412.35|418.35|They put on, the original house was 14 feet by 20 feet with just a bedroom.
418.35|423.35|The whole upstairs was a bedroom and had a sort of a ladder to get upstairs.
423.35|431.35|Well, then they put on an extension with three bedrooms on it and a big dining room and a big living room
431.35|433.35|and a new stairway going up.
433.35|438.35|So we are well off because we had one of the bigger houses in the community.
438.35|443.79|And now we're talking into 1905.
443.79|446.79|I don't think I started school.
