start|end|text
7.25|29.41|This is where Ben started taping the planes coming in, and then you and he went out and played, and I think there's some talking in there by Reverend Robert Shuler, but you'll just keep on playing until you get through to where your grandmother and I started talking.
29.43|29.97|Okay?
32.8|39.33|I just want to add a few words as to what the snowstorm was like here.
41.92|48.91|When you were on your way home Sunday, we were getting reports that the storm was coming into Calgary, and we wondered if you were going to run into it.
49.67|59.17|At any rate, we had about four to five inches of snow here.
60.01|61.83|It looked as though it would never go away.
61.89|63.37|There's that much wood laying around.
64.05|69.14|And then yesterday afternoon, it started thawing.
69.96|72.33|And now this afternoon, the lawns are all bare.
72.37|78.66|And the only snow that's around is on the north side of the buildings where the sun don't get at it.
78.68|80.66|So we're back into some reasonable weather.
80.68|82.42|It's about 10 above today.
84.33|87.65|I might add that Wally and Willa came up
89.56|92.34|Wednesday, Wednesday night, yes.
92.94|112.46|He was coming up for a doctor's appointment and Willa had an appointment also for some tests and they stayed Wednesday night and then Thursday they had their appointments and they went up and had supper at Joni's and then they came back here and
112.99|122.9|Naturally, each night we played rummy until about 1 o'clock, and there weren't any great winners or losers in the game, but we thoroughly enjoyed it.
123.46|136.7|And they left this morning about 11 o'clock, and they planned to go to Arizona about the first part of next week.
138.76|142.36|So that's the last we'll see of them for...
143.45|149.06|six months, unless something happens if they decide to come home.
152.45|160.06|And anyway, I don't know what else there is to tell you.
164.77|166.41|Accepting being a good girl
167.38|170.27|And don't remember, God loves you and so do I.
170.87|174.42|Don't forget, I mean, that God loves you and so do I.
175.65|176.65|So does your grandmother.
180.68|189.12|And then, run around the kitchen two times and say, hiya, Grams, every time you go around, okay?
189.7|191.02|Haha, bye!
192.96|199.39|Do the jumping jacks right at the door of the kitchen.
199.41|200.23|Thanks, bye.
202.7|204.89|testing.
206.01|214.91|Leslie, your grandmother and I are now going to try to answer the questions that you asked regarding the Depression in 1930.
216.21|218.56|From 1930 to 1939.
220.4|223.01|And you will
224.17|253.23|find some discrepancies in our taping because we're not experts at it like you and ben but from now on I'll have grandma read out your question and then we'll answer it that translates here comes question number one how did you make coffee in those days well some of the farmers roasted wheat or roasted barley and boiled it and use it for coffee and I can tell you it was
253.53|254.91|Plenty hard to take.
